업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
용역,20190117595-00,일반,부곡중 옥외학습장 신축 전기(통신, 소방)공사 설계용역,경상남도교육청 경상남도창녕교육지원청,경상남도교육청 경상남도창녕교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/18 14:11(2019/01/24 10:00),,마감
공사,20190117243-00,일반,2019년 도로시설물(전기) 유지관리(연간단가) 공사(2권역),경기도 수원시 권선구,경기도 수원시 권선구,수의(소액)(단가),2019/01/18 14:10(2019/01/23 10:00),,마감
용역,20190117571-00,일반,영산초 외 3교 급식시설보완 및 화장실보수 전기(통신,소방)공사 설계용역,경상남도교육청 경상남도창녕교육지원청,경상남도교육청 경상남도창녕교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/18 14:08(2019/01/24 10:00),,마감
물품,A041900005-00,일반,가파도 풍력 수배전반 차단기 및 보호계전기 구매,한국남부발전주식회사,남제주발전본부,수의(총액),2019/01/18 14:06(2019/01/18 16:00),,한국남부발전주식회사 이동
공사,20190117239-00,일반,2019년 도로시설물(전기) 유지관리(연간단가) 공사(1권역),경기도 수원시 권선구,경기도 수원시 권선구,수의(소액)(단가),2019/01/18 14:03(2019/01/23 10:00),,마감
공사,20190117565-00,긴급,국도46호선 수인터널 등 4개소 전기시설 보수공사,조달청 강원지방조달청,국토교통부 원주지방국토관리청 홍천국토관리사무소,일반경쟁,2019/01/18 13:57(2019/02/01 10:00),마감,마감
공사,20190117818-00,일반,평리중학교 선진형 교과교실제 구축 전기공사 소액수의 견적제출 공고,대구광역시서부교육청 평리중학교,대구광역시서부교육청 평리중학교,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/18 13:33(2019/01/24 10:00),,마감
공사,20190117897-00,일반,야탑고 수배전반 교체 전기공사,경기도교육청 야탑고등학교,경기도교육청 야탑고등학교,제한경쟁,2019/01/18 13:31(2019/01/25 10:00),,마감
공사,20190117874-00,일반,순천신흥초 화장실 및 바닥보수 전기공사,전라남도교육청 전라남도순천교육지원청,전라남도교육청 전라남도순천교육지원청,수의(소액),2019/01/18 13:05(2019/01/24 10:00),,마감
공사,20190117838-00,긴급,경운중학교 외 2교(구암중,평리중) 냉난방개선 및 기타 전기공사,대구광역시교육청,대구광역시교육청,지역제한,2019/01/18 12:01(2019/01/24 10:00),,마감
용역,20190117799-00,일반,중리초 등 4교 화장실개량 및 기타 전기, 정보통신공사 설계용역,부산광역시교육청 부산광역시서부교육지원청,부산광역시교육청 부산광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/18 11:41(2019/01/24 10:00),마감,마감
공사,20190117797-00,긴급,금관총 보존전시공간 전기공사,경상북도 경주시,경상북도 경주시,지역제한,2019/01/18 11:36(2019/01/24 15:00),,마감
용역,20190117208-01,변경,주택건설공사 전력시설물 감리업자(전기) 모집 공고(소사3지구),경기도 평택시,경기도 평택시,일반경쟁,2019/01/18 11:10(2019/01/28 12:00),,마감
공사,20190117718-00,일반,순천낙안중 화장실보수 전기공사,전라남도교육청 전라남도순천교육지원청,전라남도교육청 전라남도순천교육지원청,수의(소액),2019/01/18 11:06(2019/01/24 10:00),,마감
공사,20190117706-00,일반,순천비봉초 화장실보수 전기공사,전라남도교육청 전라남도순천교육지원청,전라남도교육청 전라남도순천교육지원청,수의(소액),2019/01/18 11:00(2019/01/24 10:00),,마감
공사,20190117691-00,일반,순천동산여중 화장실 보수 전기공사,전라남도교육청 전라남도순천교육지원청,전라남도교육청 전라남도순천교육지원청,수의(소액),2019/01/18 10:55(2019/01/24 10:00),,마감
공사,20190117591-00,일반,체육관 내진보강 전기공사,강릉원주대학교,강릉원주대학교,수의(소액),2019/01/18 10:46(2019/01/24 10:00),,마감
공사,20190117280-00,일반,김해삼문고등학교 냉난방기 설치 전기공사,경상남도교육청 경상남도김해교육지원청,경상남도교육청 경상남도김해교육지원청,수의(소액),2019/01/18 10:27(2019/01/24 10:00),,마감
공사,20190117397-00,긴급,마산어시장 서부주차장 건립 전기공사,경상남도 창원시,경상남도 창원시,지역제한,2019/01/18 10:19(2019/01/25 10:00),,마감
물품,20190117453-00,일반,지급자재 구매(영암용앙 B8-1-2BL 발전기),조달청 광주지방조달청,한국토지주택공사 광주전남지역본부,제한(총액),2019/01/18 10:14(2019/01/29 14:00),,마감
공사,20190117018-00,긴급,완월지구 새뜰마을사업 공동홈 공사(전기),경상남도 창원시,경상남도 창원시,지역제한,2019/01/18 10:10(2019/01/25 10:00),,마감
공사,20190117562-00,일반,여천고 안전기준 미달 교육환경 개선 공사 소액수의 견적 제출 안내 공고,전라남도교육청 여천고등학교,전라남도교육청 여천고등학교,수의(소액),2019/01/18 10:08(2019/01/23 10:00),,마감
용역,20190117531-00,재입찰,소규모수도시설 전기설비 위탁관리 용역,경상남도 밀양시,경상남도 밀양시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/18 09:59(2019/01/25 12:00),,마감
용역,20190117269-00,일반,유성중 등 6교 조명기구 교체 전기공사 설계용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/18 09:37(2019/01/24 10:00),,마감
공사,20190117424-00,일반,응봉면 농촌중심지활성화사업 전기공사,한국농어촌공사 충남지역본부 예산지사,한국농어촌공사 충남지역본부 예산지사,지역제한,2019/01/18 09:20(2019/01/28 10:00),,마감
공사,20190116686-00,일반,2019년도 단원구 공원 전기시설물 연간 유지보수공사,경기도 안산시,경기도 안산시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/18 09:08(2019/01/24 10:00),,마감
공사,20190114661-00,일반,건설공제조합 세종필드골프클럽 시설개선(코스, 주차장) 공사(전기),건설공제조합,건설공제조합,제한경쟁,2019/01/18 09:05(2019/01/28 16:00),,마감
용역,20190116493-00,긴급,죽향초외 1교(증약초) 냉난방개선 및 전등교체 전기공사 설계용역 수의견적 제출 안내 공고,충청북도교육청 충청북도옥천교육지원청,충청북도교육청 충청북도옥천교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/18 08:52(2019/01/24 10:00),,마감
공사,20190117274-00,긴급,대구두산초등학교 환경개선 전기공사,대구광역시교육청,대구광역시교육청,지역제한,2019/01/18 08:34(2019/01/24 10:00),,마감
공사,20190117379-00,일반,풍남초 외 2교(포두초, 포두중) 관사 및 화장실 보수 전기공사,전라남도교육청 전라남도고흥교육지원청,전라남도교육청 전라남도고흥교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 23:33(2019/01/23 10:00),,마감
공사,20190117378-00,일반,과역초 외 2교(고흥도화중, 고흥과역중) 화장실 보수 전기공사,전라남도교육청 전라남도고흥교육지원청,전라남도교육청 전라남도고흥교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 23:27(2019/01/23 10:00),,마감
공사,20190117244-00,일반,갯벌들 간이빗물펌프장 전기공사,대구광역시 수성구,대구광역시 수성구,수의(소액),2019/01/17 19:34(2019/01/23 14:00),,마감
공사,20190117233-00,일반,해남공업고등학교 천장보수 LED교체 전기공사,전라남도교육청 전라남도해남교육지원청,전라남도교육청 전라남도해남교육지원청,수의(소액),2019/01/17 19:20(2019/01/23 10:10),,마감
공사,20190117226-00,일반,도곡역 전기실 노후설비 개량 전기공사,서울교통공사,서울교통공사,일반경쟁,2019/01/17 19:05(2019/01/25 10:00),마감,마감
공사,20190117179-00,일반,구파발역 전기실 노후설비 개량 전기공사,서울교통공사,서울교통공사,일반경쟁,2019/01/17 18:55(2019/01/25 10:00),마감,마감
용역,20190117213-00,일반,수술실 및 지원시설 확충공사 전기감리용역 소액수의 견적 공고,전라북도남원의료원,전라북도남원의료원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 18:52(2019/01/23 10:00),,마감
공사,20190117185-00,긴급,[긴급]경상북도교육청 청도도서관 신축 전기공사 공고,경상북도교육청 경상북도청도교육지원청,경상북도교육청 경상북도청도교육지원청,제한경쟁,2019/01/17 18:37(2019/01/23 10:00),,마감
공사,20190117170-00,일반,보길초 본관동 천장교체 전기공사,전라남도교육청 전라남도완도교육지원청,전라남도교육청 전라남도완도교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 18:22(2019/01/23 10:00),,마감
공사,1804241-01,변경,오산세교2 A-15BL 아파트 전기공사 2공구(국임694호),한국토지주택공사,한국토지주택공사,제한경쟁,2019/01/17 18:20(2019/02/13 14:00),,한국토지주택공사 이동
공사,20190117096-00,일반,연산천변 도시계획도로(소로1-39,40) 개설 전기공사,충청남도 계룡시,충청남도 계룡시,지역제한,2019/01/17 18:10(2019/01/25 14:00),,마감
공사,20190116825-00,긴급,서천여고외 1교 외벽수선 및 기타 전기공사,충청남도교육청 충청남도서천교육지원청,충청남도교육청 충청남도서천교육지원청,수의(소액),2019/01/17 18:06(2019/01/25 10:30),,마감
공사,20190117137-00,일반,북평중 교사보수 전기공사,전라남도교육청 전라남도해남교육지원청,전라남도교육청 전라남도해남교육지원청,수의(소액),2019/01/17 18:05(2019/01/23 10:00),,마감
공사,20190117135-00,일반,신당역 전기실 노후설비 개량 전기공사,서울교통공사,서울교통공사,일반경쟁,2019/01/17 18:05(2019/01/25 10:00),마감,마감
공사,20190116261-00,긴급,서면중 교사동 화장실 수선 전기공사,충청남도교육청 충청남도서천교육지원청,충청남도교육청 충청남도서천교육지원청,수의(소액),2019/01/17 18:02(2019/01/25 10:00),,마감
용역,20190117107-00,일반,안성교육지원청 청사 냉난방환경개선공사 전기 설계 용역,경기도안성교육청,경기도안성교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 17:57(2019/01/23 10:00),,마감
용역,20190115828-01,변경,주택건설공사 감리자(전기) 모집공고,서울특별시 강북구,서울특별시 강북구,일반경쟁,2019/01/17 17:54(2019/01/29 10:00),,마감
공사,20190117102-00,일반,양구군 경로당(양구읍,남면) LED조명 교체공사(전기),강원도 양구군,강원도 양구군,수의(소액),2019/01/17 17:52(2019/01/23 16:00),,마감
물품,P180101010-04,일반,청송양수 발전기 C.T 구매,한국수력원자력주식회사,한국수력원자력(주) 청송양수발전소,일반(총액),2019/01/17 17:50(2019/01/28 11:00),,한국수력원자력주식회사 이동
용역,20190116621-00,일반,대흘초 교실,계단실,화장실 증축 전기,통신,소방설비공사 설계용역 수의계약 견적제출 안내공고,제주특별자치도교육청 제주시교육지원청,제주특별자치도교육청 제주시교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 17:49(2019/01/23 10:00),마감,마감
용역,20190117009-00,일반,(가칭)안성형 몽실학교 학생자치배움터 구축 전기,통신,소방(전기)설계용역,경기도안성교육청,경기도안성교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 17:44(2019/01/23 10:00),마감,마감
공사,20190116926-00,일반,김해고등학교 냉난방기 설치 전기공사,경상남도교육청 경상남도김해교육지원청,경상남도교육청 경상남도김해교육지원청,수의(소액),2019/01/17 17:23(2019/01/23 10:00),,마감
물품,20190116962-00,긴급,KPU산학협력단 전기전자공학기초실습장치 공개견적 공고,한국산업기술대학교 산학협력단,한국산업기술대학교 산학협력단,일반(총액)규격가격동시,2019/01/17 16:57(-),,
공사,20190116958-00,긴급,2019년 수방전기시설물 유지보수 공사(연간단가),서울특별시 강남구,서울특별시 강남구,제한경쟁,2019/01/17 16:57(2019/01/25 14:00),,마감
용역,20190116950-00,일반,(가칭)하늘3중학교 신축 전기공사 설계용역,인천광역시교육청,인천광역시교육청,제한경쟁,2019/01/17 16:54(2019/01/25 10:00),,마감
용역,20190116169-00,일반,대전중앙유치원 외 2교 조명교체 전기설계용역,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 16:51(2019/01/25 10:00),,마감
공사,1900145-00,일반,광주용산 지구외도로(중1-217) 전기공사,한국토지주택공사,한국토지주택공사,지역제한,2019/01/17 16:50(2019/01/25 14:00),,한국토지주택공사 이동
용역,20190116932-00,일반,(가칭)청호초중학교 신축 전기공사 설계용역,인천광역시교육청,인천광역시교육청,제한경쟁,2019/01/17 16:48(2019/01/25 10:00),,마감
공사,20190116904-00,일반,지리산 호수공원 주변 관광자원화 사업 전기공사,전라남도 구례군,전라남도 구례군,수의(소액),2019/01/17 16:45(2019/01/23 10:00),,마감
용역,20190116921-00,일반,(가칭)해양4초등학교 신축 전기공사 설계용역,인천광역시교육청,인천광역시교육청,제한경쟁,2019/01/17 16:43(2019/01/25 10:00),,마감
공사,20190115550-00,일반,영화진흥위원회 사옥 건립 전기 공사,조달청 부산지방조달청,영화진흥위원회,일반경쟁,2019/01/17 16:41(2019/02/14 10:00),마감,마감
공사,20190116919-00,일반,완도여중 급식실보수 전기공사,전라남도교육청 전라남도완도교육지원청,전라남도교육청 전라남도완도교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 16:40(2019/01/23 10:00),,마감
용역,20190116905-00,일반,(가칭)해양6초등학교 신축 전기공사 설계용역,인천광역시교육청,인천광역시교육청,제한경쟁,2019/01/17 16:37(2019/01/25 10:00),,마감
용역,20190116756-01,변경,빗물펌프장 전기안전관리 대행 및 운영 용역,경상북도 포항시 맑은물사업본부,경상북도 포항시 맑은물사업본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 15:58(2019/01/22 10:00),,마감
공사,20190113672-02,변경,계성초등학교 수변전설비 증설 전기공사,대구광역시동부교육청 계성초등학교,대구광역시동부교육청 계성초등학교,지역제한,2019/01/17 15:56(2019/01/23 10:00),,마감
용역,20190116794-00,일반,주택건설공사 전력시설물 감리업자(전기) 모집 공고 (신촌지구 A-3블록),경기도 평택시,경기도 평택시,일반경쟁,2019/01/17 15:55(2019/01/28 12:00),,마감
공사,20190116778-00,긴급,교동초 냉난방전원설비 전기공사,강원도교육청 강원도춘천교육지원청,강원도교육청 강원도춘천교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 15:49(2019/01/23 10:00),,마감
공사,20190116734-00,일반,남원초 교실 증축 전기공사 수의계약 견적제출 안내 공고,제주특별자치도교육청 서귀포시교육지원청,제주특별자치도교육청 서귀포시교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 15:40(2019/01/23 10:00),,마감
용역,20190116660-00,일반,솔뫼중 체육관  LED조명 개선 전기공사 설계용역,경기도교육청 경기도의정부교육지원청,경기도교육청 경기도의정부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 15:26(2019/01/23 10:00),,마감
물품,K190047010-00,일반,고리2발 전기팀 윤활유 등 9품목,한국수력원자력주식회사,한국수력원자력(주) 고리원자력본부,일반(총액),2019/01/17 15:00(2019/01/25 12:00),,한국수력원자력주식회사 이동
공사,20190114124-00,일반,대전관평초등학교 병설유치원 확충 전기공사,대전광역시교육청 대전광역시서부교육지원청 대전관평초등학교,대전광역시교육청 대전광역시서부교육지원청 대전관평초등학교,수의(소액),2019/01/17 14:57(2019/01/23 10:00),,마감
공사,20190115643-00,긴급,서령초등학교 조명개선 전기공사,충청남도교육청 충청남도서산교육지원청,충청남도교육청 충청남도서산교육지원청,수의(소액),2019/01/17 14:44(2019/01/23 10:00),,마감
물품,A101900205-00,일반,전기용접봉 외  22종,한전케이피에스주식회사,발전사업본부 제주사업소,수의(총액),2019/01/17 14:43(2019/01/17 15:02),,한전케이피에스주식회사 이동
공사,20190116607-00,일반,학생회관 외 1개동 환경개선 전기공사,강원대학교 삼척캠퍼스,강원대학교 삼척캠퍼스,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 14:40(2019/01/22 16:00),,마감
물품,A101900210-00,일반,발전기 베어링 외   1종,한전케이피에스주식회사,발전사업본부 분당사업소,수의(총액),2019/01/17 14:39(2019/01/17 15:36),,한전케이피에스주식회사 이동
공사,20190115782-00,일반,상봉어린이집 신축공사(전기),경상남도 진주시,경상남도 진주시,제한경쟁,2019/01/17 14:37(2019/01/25 16:00),,마감
공사,20190112507-00,긴급,안양여자중학교 냉난방 개선 전기공사(긴급),경기도안양교육청 안양여자중학교,경기도안양교육청 안양여자중학교,수의(소액),2019/01/17 14:34(2019/01/22 10:00),,마감
공사,20190116567-00,재입찰,연어종묘 부화육성 및 순치양성장 시설공사(전기)(입찰대행),강원도 고성군,강원도 고성군,수의(소액),2019/01/17 14:28(2019/01/29 11:00),,마감
공사,20190115789-00,일반,수정어린이집 신축공사(전기),경상남도 진주시,경상남도 진주시,수의(소액),2019/01/17 14:27(2019/01/25 15:00),,마감
공사,20190116533-00,일반,계촌중 냉난방개선 전기공사 소액수의 견적제출 공고,강원도교육청 강원도평창교육지원청,강원도교육청 강원도평창교육지원청,수의(소액),2019/01/17 14:21(2019/01/23 14:00),,마감
용역,20190116426-00,일반,인천검암유치원 장애인편의시설 설치 전기(통신,소방포함)공사 설계용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 14:11(2019/01/23 10:00),,마감
공사,20190116485-00,긴급,동해안 군 경계철책 철거사업(2단계2차) 전기공사,강원도 고성군,강원도 고성군,제한경쟁,2019/01/17 14:01(2019/01/23 11:00),,마감
공사,20190116477-00,일반,주진초 냉난방개선 전기공사 소액수의 견적제출 공고,강원도교육청 강원도평창교육지원청,강원도교육청 강원도평창교육지원청,수의(소액),2019/01/17 13:58(2019/01/23 10:30),,마감
공사,20190116450-00,일반,미탄초 냉난방개선 전기공사 소액수의 견적제출 공고,강원도교육청 강원도평창교육지원청,강원도교육청 강원도평창교육지원청,수의(소액),2019/01/17 13:50(2019/01/23 10:00),,마감
공사,20190116430-00,긴급,행복고성 작은영화관 건립공사(전기),강원도 고성군,강원도 고성군,제한경쟁,2019/01/17 13:44(2019/01/23 11:00),,마감
물품,9214014-00,일반,임가공단가_제조_적격심사)KTX산천동력차 충전기 파워모듈 등 4점_수단,한국철도공사,한국철도공사,일반(단가),2019/01/17 13:23(2019/01/25 10:00),,한국철도공사 이동
공사,20190116364-00,긴급,공주대학교 천안캠퍼스 제2공학관 외6개소 전기공사,공주대학교 공과대학,공주대학교 공과대학,수의(소액),2019/01/17 13:20(2019/01/22 14:00),,마감
용역,20190116361-00,긴급,(긴급) 천안희망초외 1교 교사신축 전기공사 감리 용역,충청남도교육청 충청남도천안교육지원청,충청남도교육청 충청남도천안교육지원청,제한경쟁,2019/01/17 13:19(2019/01/23 10:00),,마감
공사,20190116349-00,일반,안흥시험장 현대화 2단계 전기공사,국방과학연구소,국방과학연구소,제한경쟁,2019/01/17 13:18(2019/01/25 10:00),,마감
공사,20190116347-00,일반,의정부공고 냉난방개선 전기공사,경기도교육청 경기도의정부교육지원청,경기도교육청 경기도의정부교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 13:14(2019/01/23 10:00),,마감
용역,20190116337-00,긴급,(긴급) 천안꿈이룸학교 교사신축 전기공사 감리 용역,충청남도교육청 충청남도천안교육지원청,충청남도교육청 충청남도천안교육지원청,제한경쟁,2019/01/17 13:14(2019/01/23 10:00),,마감
공사,20190116277-00,일반,부산두레학교 급식실현대화사업 및 기타 전기공사,부산광역시교육청 부산두레학교,부산광역시교육청 부산두레학교,수의(소액),2019/01/17 12:08(2019/01/23 10:00),,마감
용역,20190115699-00,일반,백운초등학교 외 3교(용호초, 분포중, 용문초) 노후전등교체 및 기타전기공사 설계용역,부산광역시교육청 부산광역시남부교육지원청,부산광역시교육청 부산광역시남부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 11:44(2019/01/23 10:00),,마감
공사,B3201900115-00,일반,2019년 시화조력 수차발전기 스톱로그 지수부 및 스크린 오손생물 수중 제거공사,한국수자원공사,한국수자원공사 시화조력관리단, ,2019/01/17 11:00(2019/01/25 11:00),,한국수자원공사 이동
공사,20190116108-00,일반,무주 전통시장(설천 무풍) 화장실 리모델링 사업(전기),전라북도 무주군,전라북도 무주군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 10:52(2019/01/23 10:00),,마감
공사,20190116068-00,일반,2019년 냉방설비 전기분야 정기점검보수공사,한국지역난방공사 서울중앙지사,한국지역난방공사 서울중앙지사,제한경쟁,2019/01/17 10:40(2019/01/25 16:00),,마감
공사,20190114409-02,취소,2019년 냉방설비 전기분야 정기점검보수공사,한국지역난방공사 서울중앙지사,한국지역난방공사 서울중앙지사,제한경쟁,2019/01/17 10:35(2019/01/30 16:00),,
공사,20190114845-00,일반,삼한맨션~과정교차로간 도로건설 전기공사,부산광역시,부산광역시 건설본부,지역제한,2019/01/17 10:09(2019/01/25 10:00),,마감
공사,20190115822-00,일반,광양가야초 본관동 LED전등교체 전기공사,전라남도교육청 전라남도광양교육지원청,전라남도교육청 전라남도광양교육지원청,지역제한,2019/01/17 10:05(2019/01/22 10:00),,마감
용역,20190114906-00,일반,전주서신중 외 2교(선화학교, 상업정보고) 수변전시설 교체 전기공사 설계용역,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/17 09:36(2019/01/23 10:00),,마감
공사,20190115323-00,일반,대전중리초등학교 교실 수선 전기 공사,대전광역시교육청 대전광역시동부교육지원청 대전중리초등학교,대전광역시교육청 대전광역시동부교육지원청 대전중리초등학교,지역제한,2019/01/17 09:34(2019/01/23 10:00),,마감
공사,20190115653-00,일반,부평서여중 장애인승강기 설치 전기공사,인천광역시교육청 인천광역시북부교육지원청,인천광역시교육청 인천광역시북부교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 09:33(2019/01/23 10:00),,마감
공사,20190114298-00,긴급,달성고등학교 외 1교 냉난방개선 전기공사,대구광역시교육청,대구광역시교육청,지역제한,2019/01/17 09:26(2019/01/23 10:00),,마감
공사,20190115861-00,일반,수산과학관 외 2개동 수배전반 보수 전기공사,부경대학교,부경대학교,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/17 09:23(2019/01/22 10:00),,마감
용역,20190102592-02,취소,주택건설공사 감리자(전기) 모집 공고[운정신도시(3지구) A15블럭],경기도 파주시,경기도 파주시,일반경쟁,2019/01/17 08:44(2019/01/16 10:00),,
공사,201950014-00,일반,2019~2020년 영천지사 전기시설물 연간 유지보수공사,한국도로공사,한국도로공사 경북지역본부,제한경쟁,2019/01/17 00:00(2019/01/25 10:00),,한국도로공사 이동
공사,201950016-01,취소,2019~2020년 성주지사 전기시설물 연간 유지보수공사,한국도로공사,한국도로공사 경북지역본부,제한경쟁,2019/01/17 00:00(2019/01/25 10:00),,한국도로공사 이동
공사,201950017-00,일반,2019~2020년 성주지사 전기시설물 연간 유지보수공사,한국도로공사,한국도로공사 경북지역본부,제한경쟁,2019/01/17 00:00(2019/01/25 10:00),,한국도로공사 이동
공사,201950013-00,일반,2019~2020년 대구지사 전기시설물 연간 유지보수공사,한국도로공사,한국도로공사 경북지역본부,제한경쟁,2019/01/17 00:00(2019/01/25 10:00),,한국도로공사 이동
공사,201950015-00,일반,2019~2020년 고령지사 전기시설물 연간 유지보수공사,한국도로공사,한국도로공사 경북지역본부,제한경쟁,2019/01/17 00:00(2019/01/25 10:00),,한국도로공사 이동
물품,Y190026010-01,변경,전기자 1품목,한국수력원자력주식회사,한국수력원자력(주) 한빛원자력본부,일반(총액),2019/01/17 00:00(2019/01/28 11:00),,한국수력원자력주식회사 이동
용역,20190115785-00,일반,전남도립대학교 학사행정지원동 건립공사 전기감리용역,전라남도,전라남도,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/01/16 23:28(2019/01/22 12:00),,마감
공사,20190115686-00,일반,국공립 상도2동어린이집 신축 전기소방공사,서울특별시 동작구,서울특별시 동작구,수의(소액),2019/01/16 19:12(2019/01/23 10:00),,마감
공사,20190115662-00,일반,종로5가역 전기실 노후설비 개량 전기공사,서울교통공사,서울교통공사,일반경쟁,2019/01/16 18:33(2019/01/24 10:00),마감,마감
공사,20190115630-00,일반,한국전기연구원 태양광발전설비 설치공사,한국전기연구원,한국전기연구원,제한경쟁,2019/01/16 18:17(2019/01/31 11:00),마감,마감
공사,20190115593-00,일반,신정역 노후 에스컬레이터 교체 전기공사,서울교통공사,서울교통공사,지역제한,2019/01/16 18:14(2019/01/24 10:00),,마감
공사,20190115458-00,긴급,경북도립김천노인전문요양병원 치매안심병동 리모델링 및 증축공사(전기)-긴급,경상북도립김천노인전문요양병원,경상북도립김천노인전문요양병원,지역제한,2019/01/16 18:12(2019/01/24 15:00),,마감
공사,20190115494-01,변경,2019 서울모터쇼 전기간선공사,주식회사킨텍스,주식회사킨텍스,제한경쟁,2019/01/16 17:49(2019/01/24 10:00),,마감
공사,20190115531-00,일반,금산초 외 2교 관사보수 전기공사,전라남도교육청 전라남도고흥교육지원청,전라남도교육청 전라남도고흥교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/16 17:38(2019/01/22 10:00),,마감
공사,20190115524-00,일반,용인 도시계획도로 중1-17호(2구간) 확폭조성 공사(전기),경기도 용인시,경기도 용인시,지역제한,2019/01/16 17:33(2019/01/24 10:00),,마감
공사,20190114213-00,긴급,(가칭)김천학생문화예술센터 건립 전기공사,경상북도교육청 경상북도김천교육지원청,경상북도교육청 경상북도김천교육지원청,제한경쟁,2019/01/16 17:29(2019/01/24 10:00),,마감
용역,20190114677-00,긴급,중모고등학교 농업계특성화고전환공사 전기부문 설계용역,경상북도교육청 경상북도김천교육지원청,경상북도교육청 경상북도김천교육지원청,제한경쟁,2019/01/16 17:19(2019/01/23 10:00),마감,마감
공사,20190115465-00,일반,2019년 체육시설 유지보수 전기공사(단가계약),울산광역시 북구,울산광역시 북구,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/16 17:18(2019/01/22 10:00),,마감
공사,20190115438-00,일반,남양초 전기시설 보수 전기공사,전라남도교육청 전라남도고흥교육지원청,전라남도교육청 전라남도고흥교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/01/16 17:08(2019/01/22 10:00),,마감
공사,20190115430-00,일반,모퉁이보호작업장(직업재활시설) 신축공사 전기공사 입찰공고,모퉁이보호작업장,모퉁이보호작업장,제한경쟁,2019/01/16 17:04(2019/01/24 14:00),마감,마감
공사,20190115400-00,일반,이서면 농촌중심지활성화사업 전기공사,한국농어촌공사 전북지역본부 전주.완주.임실지사,한국농어촌공사 전북지역본부 전주.완주.임실지사,지역제한,2019/01/16 16:56(2019/01/28 10:00),,마감
공사,20190115324-01,취소,모퉁이보호작업장(직업재활시설) 신축공사 전기공사 입찰공고,모퉁이보호작업장,모퉁이보호작업장,제한경쟁,2019/01/16 16:51(2019/01/24 14:00),,
공사,20190115354-00,일반,조대부중 수변전시설 전기공사 소액수의계약 견적서 제출 안내 공고,광주광역시교육청 광주광역시동부교육지원청 조선대학교부속중학교,광주광역시교육청 광주광역시동부교육지원청 조선대학교부속중학교,수의(소액),2019/01/16 16:49(2019/01/22 10:00),,마감
공사,E011900361-00,일반,기후변화대응센터 신축 전기설비공사,한국전력공사,재무자재부,제한경쟁,2019/01/16 16:46(2019/01/28 10:00),,한국전력공사 이동
공사,20190115344-00,긴급,인천병원 외래재활센터 설치공사(전기),근로복지공단본부,근로복지공단본부,제한경쟁,2019/01/16 16:45(2019/01/22 10:00),,마감
용역,20190115370-00,일반,주택건설공사 감리자(전기) 모집(동구신천동 주거복합),대구광역시,대구광역시,일반경쟁,2019/01/16 16:45(2019/01/25 10:00),,마감
